STATE,count
Tamil Nadu,11154
Uttar Pradesh,3187
Delhi,1248
Andhra Pradesh,1050
Chandigarh,653
Puducherry,613
Punjab,534
Haryana,495
Jammu And Kashmir,425
Chhattisgarh,328
Bihar,219
Rajasthan,201
Maharashtra,182
Madhya Pradesh,179
Kerala,156
Himachal Pradesh,61
Telangana,61
West Bengal,52
Uttarakhand,44
The Dadra And Nagar Haveli And Daman And Diu,34
Karnataka,34
Manipur,33
Ladakh,32
Jharkhand,28
Goa,27
Gujarat,25
Odisha,19
Sikkim,19
Assam,16
Andaman And Nicobar Islands,12
Arunachal Pradesh,11
Meghalaya,6
Nagaland,5
Tripura,5
Mizoram,2
